"ID","Handle","Command","Title","Status"
"8940190302439","cropped-ribbed-turtleneck-black","MERGE","Cropped Rib Turtleneck","Draft"
"8940190367975","ribbed-racerback-tank-ivory","MERGE","Rib Racerback Tank","Draft"
"8940190499047","ribbed-racerback-tank-black","MERGE","Rib Racerback Tank Black","Draft"
"8940190662887","ribbed-racerback-tank-heather-grey","MERGE","Rib Racerback Tank Heather Grey","Draft"
"8940190728423","cropped-rib-racerback-tank-ivory","MERGE","Cropped Rib Racerback Tank","Draft"
"8940190892263","cropped-ribbed-racerback-tank-black","MERGE","Cropped Rib Racerback Tank","Draft"
"8940190990567","cropped-ribbed-racerback-tank-heather-grey","MERGE","Cropped Rib Racerback Tank","Draft"
"8940191187175","long-sleeve-hoodie-t-shirt-ivory","MERGE","Long Sleeve Hoodie T-Shirt","Draft"
"8940191285479","long-sleeve-hoodie-t-shirt-black","MERGE","Long Sleeve Hoodie T-Shirt","Draft"
"8940191449319","long-sleeve-hoodie-t-shirt-heather-grey","MERGE","Long Sleeve Hoodie T-Shirt","Draft"
"8940191547623","long-sleeve-cropped-hoodie-t-shirt-ivory","MERGE","Long Sleeve Cropped Hoodie T-Shirt","Draft"
"8940230738151","stevie-1","MERGE","STEVIE CASHMERE SWEATER","Draft"
"8940212584679","bella-tank-one-piece-2","MERGE","Bella Tank One Piece","Archived"
"8940192039143","boyfriend-pocket-t-shirt-ivory","MERGE","Boyfriend Pocket T-Shirt","Draft"
"8940192071911","boyfriend-pocket-t-shirt-black","MERGE","Boyfriend Pocket T-Shirt","Draft"
"8940192235751","boyfriend-pocket-t-shirt-heather-grey","MERGE","Boyfriend Pocket T-Shirt","Draft"
"8940192563431","lounge-boxer-short-ivory","MERGE","Lounge Boxer Short","Draft"
"8940192727271","lounge-boxer-short-black","MERGE","Lounge Boxer Short","Draft"
"8940192825575","lounge-boxer-short-heather-grey","MERGE","Lounge Boxer Short","Draft"
"8940192891111","oversized-thermal-ivory","MERGE","Oversized Thermal","Draft"
"8940193022183","oversized-thermal-black","MERGE","Oversized Thermal","Draft"
"8940193153255","oversized-thermal-heather-grey","MERGE","Oversized Thermal","Draft"
"8940193251559","cropped-oversized-thermal-ivory","MERGE","Cropped Oversized Thermal","Draft"
"8940193382631","cropped-oversized-thermal-black","MERGE","Cropped Oversized Thermal","Draft"
"8940193579239","cropped-oversized-thermal-heather-grey","MERGE","Cropped Oversized Thermal","Draft"
"8940193710311","thermal-biker-short-black","MERGE","Thermal Biker Short","Draft"
"8940193808615","thermal-biker-short-heather-grey","MERGE","Thermal Biker Short","Draft"
"8940193874151","thermal-romper","MERGE","Thermal Romper","Draft"
"8940193939687","thermal-lounge-pant-ivory","MERGE","Lounge Pant","Draft"
"8940194037991","thermal-lounge-pant-black","MERGE","Lounge Pant","Draft"
"8940194103527","thermal-lounge-pant-heather-grey","MERGE","Lounge Pant","Draft"
"8940194169063","cropped-v-neck-t-shirt-black","MERGE","Cropped V-Neck T-Shirt","Draft"
"8940194300135","cropped-v-neck-t-shirt-ivory","MERGE","Cropped V-Neck T-Shirt","Draft"
"8940194693351","long-sleeve-cropped-t-shirt-black","MERGE","Long Sleeve Cropped T-Shirt","Draft"
"8940194857191","long-sleeve-cropped-t-shirt-heather-grey","MERGE","Long Sleeve Cropped T-Shirt","Draft"
"8940194922727","long-sleeve-cropped-t-shirt-ivory","MERGE","Long Sleeve Cropped T-Shirt","Draft"
"8940194988263","long-sleeve-cropped-rib-t-shirt-ivory","MERGE","Long Sleeve Cropped Rib T-Shirt","Draft"
"8940195184871","long-sleeve-cropped-rib-t-shirt-black","MERGE","Long Sleeve Cropped Rib T-Shirt","Draft"
"8940195283175","long-sleeve-cropped-rib-t-shirt-heather-grey","MERGE","Long Sleeve Cropped Rib T-Shirt","Draft"
"8940195545319","cropped-v-neck-t-shirt-heather-grey","MERGE","Cropped V-Neck T-Shirt","Draft"
"8940195741927","v-neck-t-shirt-heather-grey","MERGE","V-Neck T-Shirt","Draft"
"8940195905767","cropped-long-sleeve-thermal-grey","MERGE","Cropped Long Sleeve Thermal","Draft"
"8940196233447","cropped-thermal-henley-black","MERGE","Cropped Thermal Henley","Draft"
"8940196298983","cropped-thermal-henley-heather-grey","MERGE","Cropped Thermal Henley","Draft"
"8940196757735","cropped-scoop-neck-tank-heather-grey","MERGE","CROPPED SCOOP NECK TANK","Draft"
"8940196954343","thermal-henley-black","MERGE","Thermal Henley","Draft"
"8940197118183","thermal-henley-heather-grey","MERGE","Thermal Henley","Draft"
"8940197216487","tank-dress-mini-heather-grey","MERGE","Tank Mini Dress","Draft"
"8940197871847","long-sleeve-crewneck-dress-mini-heather-grey","MERGE","Long Sleeve Crewneck Mini Dress","Draft"
"8940197970151","super-cropped-rib-tank-black","MERGE","Super Cropped Rib Tank","Draft"
"8940198101223","super-cropped-rib-tank-heather-grey","MERGE","Super Cropped Rib Tank","Draft"
"8940198199527","super-cropped-rib-tank-ivory","MERGE","Super Cropped Rib Tank","Draft"
"8940198756583","cropped-long-sleeve-fitted-top-black","MERGE","Cropped Long Sleeve Fitted Top","Draft"
"8940198822119","cropped-long-sleeve-fitted-top-cream","MERGE","Cropped Long Sleeve Fitted Top","Draft"
"8940199084263","cropped-long-sleeve-fitted-top-heather-grey","MERGE","Cropped Long Sleeve Fitted Top","Draft"
"8940199444711","cropped-fitted-turtleneck-top-heather-grey","MERGE","Cropped Fitted Turtleneck Top","Draft"
"8940199543015","thin-strap-fitted-tank-black","MERGE","Thin Strap Fitted Tank","Draft"
"8940199608551","thin-strap-fitted-tank-cream","MERGE","Thin Strap Fitted Tank","Draft"
"8940199674087","thin-strap-fitted-tank-heather-grey","MERGE","Thin Strap Fitted Tank","Draft"
"8940199772391","cropped-thin-strap-fitted-tank-black","MERGE","Cropped Thin Strap Fitted Tank","Draft"
"8940199837927","cropped-thin-strap-fitted-tank-cream","MERGE","Cropped Thin Strap Fitted Tank","Draft"
"8940200034535","cropped-thin-strap-fitted-tank-heather-grey","MERGE","Cropped Thin Strap Fitted Tank","Draft"
"8940200296679","tank-dress-maxi-heather-grey","MERGE","Tank Maxi Dress","Draft"
"8940200427751","long-sleeve-crewneck-dress-maxi-heather-grey","MERGE","Long Sleeve Crewneck Maxi Dress","Draft"
"8940200591591","long-sleeve-turtleneck-dress-mini-heather-grey","MERGE","Long Sleeve Turtleneck Mini Dress","Draft"
